text,credibility_score
a whistleblower allegedly reveal that a new strategic partnership have be finalize,0.43
company document show that success be absolutely certain,0.62
expert analysis prove conspiracy,0.08
support by comprehensive datum,0.94
confirm by company leadership,0.98
company statement issue,0.51
accord to an unnamed source that significant cost reduction have be achieve,0.4
company document show that competitor be on the verge of collapse,0.7
a viral post assert that a substantial acquisition have be finalize,0.36
establish,0.97
unconfirmed report indicate that regulatory approval have be grant,0.42
benefit and drawback,0.96
the ceo announce during the meeting that all risk have be eliminate,0.7
unnamed expert warn,0.1
the audited financial statement show that financial problem have completely disappear,0.64
quarterly report,0.9
market analysis : market performance vary as economic indicator show mixed result,0.95
speculation grow about,0.27
source close to,0.3
"the treasury announce a 75 basis point increase to interest rate , cite employment datum as the primary factor .",0.76
as document in sec filing that market dominance be guarantee,0.62
credible,0.91
financial elite terrify as game - change new cryptocurrency soar,0.29
mainstream medium will not tell you,0.14
too big to be coincidence,0.23
anonymous source claim that a new strategic partnership have be finalize,0.33
insider,0.29
10 - k,0.78
official - look report reveal shocking truth,0.2
inform,0.48
evidence - base,0.95
anonymous source claim that regulatory approval have be grant,0.35
a viral post assert that production efficiency have improve dramatically,0.44
astronomical profit,0.17
social medium user speculate that regulatory approval have be grant,0.37
extraordinary performance,0.13
mislead,0.07
report,0.51
statistical analysis,0.94
accord to an unnamed source that quarterly earning exceed expectation,0.35
rumor be circulate,0.22
regulatory filing confirm that success be absolutely certain,0.57
source speak on condition of anonymity that regulatory approval have be grant,0.33
indicate,0.52
cost saving offset by new expense,0.84
anonymous source claim that production efficiency have improve dramatically,0.38
economic indicator release,0.55
verify earning report show,0.73
verify by expert,0.96
reference,0.86
annual report,0.78
magic,0.03
explain,0.51
massive,0.11
promise yet cautious outlook,0.96
suggest by anonymous source,0.42
connect the dot reveal,0.25
verify datum indicate that the stock price could triple within month,0.61
calculate base on public financial datum,0.57
financial apocalypse,0.14
financial miracle discover,0.04
trend,0.22
the board of director disclose that a revolutionary product will change the industry forever,0.61
calculate,0.8
bombshell,0.02
report in the sec filing date,0.56
social medium user speculate that production efficiency have improve dramatically,0.33
rumor suggest that regulatory approval have be grant,0.43
scandal,0.26
accord to an unnamed source that debt restructuring have be complete favorably,0.33
"allege insider reveal that a lead tech company be hide significant loss , with insider hint at an impending bankruptcy .",0.29
social medium user speculate that quarterly earning exceed expectation,0.32
get rich quick with,0.18
social medium user speculate that significant cost reduction have be achieve,0.44
revolutionary product,0.12
accord to the official report that the stock price could triple within month,0.58
unofficial channel suggest that significant cost reduction have be achieve,0.32
whistleblower claim major tech company be hide significant loss,0.12
earning report,0.93
the audited financial statement show that all risk have be eliminate,0.56
an unverified blog state that production efficiency have improve dramatically,0.38
reputable,0.97
rumor suggest that debt restructuring have be complete favorably,0.38
devastate loss,0.14
market analysis suggest,0.55
housing market statistic,0.47
paradigm - shift development,0.11
social medium user speculate that expansion into new market be successful,0.35
financial elite panic over,0.08
sensational,0.18
company document show that profit will increase exponentially,0.59
the audited financial statement show that a miraculous turnaround have occur,0.57
anonymous,0.19
confirm by the chief financial officer,0.61
say,0.49
acknowledge,0.49
fabricate,0.28
present in the audited financial statement,0.57
cite,0.75
the ceo announce during the meeting that profit will increase exponentially,0.62
confirm,0.76
accord to an unnamed source that regulatory approval have be grant,0.37
outline in the investor presentation,0.66
huge,0.24
accord to the official report that a miraculous turnaround have occur,0.57
unconfirmed report indicate that expansion into new market be successful,0.41
summarize,0.55
anonymous source claim that debt restructuring have be complete favorably,0.31
social medium user speculate that a substantial acquisition have be finalize,0.41
official economic indicator suggest,0.92
controversy,0.15
as state in the press release that all risk have be eliminate,0.68
demonstrate,0.86
regulatory filing confirm that unprecedented market disruption be imminent,0.63
announce,0.85
revolutionary,0.01
declare,0.52
advise,0.53
fake,0.02
employment figure update,0.52
unconfirmed report indicate that a major technological breakthrough have occur,0.31
questionable,0.12
economic collapse imminent,0.2
document,0.88
accord to,0.86
as document in quarterly report,0.98
industry analysis base on sector performance show that the technology sector have outperform the broad market by 4.2 % year - to - date .,0.73
the board of director disclose that market dominance be guarantee,0.55
could potentially,0.32
financial statement,0.7
accord to an unnamed source that market share have increase substantially,0.37
brief,0.53
explosive growth,0.12
leak information indicate,0.14
massive windfall,0.02
exclusive,0.29
verify datum indicate that a revolutionary product will change the industry forever,0.6
dramatic shift in,0.29
company document show that the stock price could triple within month,0.67
hide,0.06
peer - review study challenge establish fact,0.12
empirical evidence demonstrate,0.83
consistent with historical pattern,0.89
accord to the official report that market dominance be guarantee,0.56
allege insider reveal that market share have increase substantially,0.35
corroborate,0.86
source speak on condition of anonymity that a new strategic partnership have be finalize,0.33
as state in the press release that market dominance be guarantee,0.7
improvement with persistent challenge,0.93
trading volume increase,0.51
purport,0.26
conclude,0.47
"company report q3 earning : revenue down 3.2 % , expense increase by 2.1 %",0.93
energy price fluctuate,0.49
accord to the official report that a revolutionary product will change the industry forever,0.57
an unverified blog state that significant cost reduction have be achieve,0.42
report by,0.96
an unverified blog state that debt restructuring have be complete favorably,0.35
reveal by,0.7
source speak on condition of anonymity that debt restructuring have be complete favorably,0.31
clickbait,0.24
as state in the press release that the stock price could triple within month,0.65
accord to the official report that all risk have be eliminate,0.55
quarterly economic report show moderate growth in manufacture sector,0.97
claim,0.26
financial expert shock by,0.15
license,0.73
comprehensive investigation uncover conspiracy,0.19
source speak on condition of anonymity that expansion into new market be successful,0.39
as state in the press release that competitor be on the verge of collapse,0.57
verify insider reveal shock secret,0.12
measure,0.97
elaborate,0.51
company document show that all risk have be eliminate,0.62
economic tsunami,0.2
insider reveal,0.27
unprecedented market opportunity,0.09
reportedly connect to,0.42
unconfirmed report indicate that quarterly earning exceed expectation,0.4
game - change,0.06
evidence - base projection indicate,0.86
express,0.46
as state in the press release that unprecedented market disruption be imminent,0.66
specify in the merger agreement,0.6
source speak on condition of anonymity that quarterly earning exceed expectation,0.44
the independent audit reveal that financial problem have completely disappear,0.58
market guru predict spectacular 500 % gain in this unknown stock,0.05
social medium user speculate that market share have increase substantially,0.39
rare,0.14
detailed documentation of secret scheme,0.21
federal reserve announce revise financial regulation after public consultation,0.71
regulatory filing confirm that the stock price could triple within month,0.65
unofficial channel suggest that a major technological breakthrough have occur,0.31
the audited financial statement show that the stock price could triple within month,0.56
bond yield move,0.52
the ceo announce during the meeting that a revolutionary product will change the industry forever,0.68
encourage sign with notable exception,0.88
characterize,0.45
the financial establishment do not want you to know about this groundbreake investment that could make you rich overnight,0.03
the independent audit reveal that profit will increase exponentially,0.56
believe to be plan,0.37
regulatory filing confirm that a revolutionary product will change the industry forever,0.6
transparent methodology reveal,0.92
unofficial channel suggest that a new strategic partnership have be finalize,0.45
regulatory filing confirm that profit will increase exponentially,0.68
source speak on condition of anonymity that significant cost reduction have be achieve,0.31
advantage and limitation,0.72
a whistleblower allegedly reveal that market share have increase substantially,0.4
seem to imply,0.39
anonymous source claim that quarterly earning exceed expectation,0.41
state,0.79
publish,0.71
allegedly involve in,0.32
as document in sec filing that financial problem have completely disappear,0.66
as document in sec filing that unprecedented market disruption be imminent,0.7
interest rate unchanged,0.5
mention,0.48
a whistleblower allegedly reveal that quarterly earning exceed expectation,0.45
accord to the official report that unprecedented market disruption be imminent,0.61
possibly suggest,0.44
reliable source confirm spectacular discovery,0.16
official,0.91
unofficial channel suggest that quarterly earning exceed expectation,0.43
unconfirmed report indicate that a substantial acquisition have be finalize,0.32
verify by independent analyst,0.77
currency exchange rate shift,0.47
allege insider reveal that quarterly earning exceed expectation,0.32
may,0.21
secret investment strategy,0.19
disclose,0.92
the audited financial statement show that a revolutionary product will change the industry forever,0.64
bypass financial regulation,0.18
major cover - up expose,0.26
fact - check,0.96
specify,0.52
company document show that unprecedented market disruption be imminent,0.63
trade balance report,0.48
update,0.49
the independent audit reveal that a revolutionary product will change the industry forever,0.57
market carnage,0.15
"accord to the regulatory filing , the bank increase its loan loss provision by 15 % in anticipation of economic headwind in the come fiscal year .",0.75
exclusive report reveal that investor could make enormous profit with this secret investment strategy .,0.06
source from,0.95
accord to an unnamed source that production efficiency have improve dramatically,0.38
unreliable source indicate that regulatory approval have be grant,0.36
the independent audit reveal that a miraculous turnaround have occur,0.7
monetary strategy outline,0.52
enormous,0.01
the board of director disclose that the stock price could triple within month,0.56
systematic,0.83
note,0.51
longitudinal datum show,0.77
research finding,0.83
the ceo announce during the meeting that market dominance be guarantee,0.62
sec filing,0.79
groundbreake,0.21
source say,0.12
as state in the press release that success be absolutely certain,0.67
an unverified blog state that a major technological breakthrough have occur,0.41
secret,0.02
company document show that financial problem have completely disappear,0.69
an unverified blog state that quarterly earning exceed expectation,0.43
accord to an unnamed source that a major technological breakthrough have occur,0.34
point out,0.54
market meltdown,0.17
accord to the official report that financial problem have completely disappear,0.68
the board of director disclose that all risk have be eliminate,0.65
independent research confirm fringe theory,0.16
consumer sentiment measure,0.52
historical datum,0.8
distort,0.09
speculate to announce,0.41
unfounde,0.16
suggest,0.52
extraordinary,0.17
regulatory filing confirm that financial problem have completely disappear,0.69
as document in sec filing that the stock price could triple within month,0.58
scientific study support controversial claim,0.28
viral,0.05
mysterious financial group claim to have discover a guarantee method to predict market movement with 100 % accuracy .,0.27
company document show that a miraculous turnaround have occur,0.55
unreliable source indicate that a new strategic partnership have be finalize,0.33
leak,0.2
tremendous,0.1
mysterious,0.17
"profit in some sector , loss in other",0.72
authorize,0.89
systematic examination expose hidden agenda,0.06
a systematic review of economic indicator suggest that consumer spending may increase moderately in the come quarter .,0.81
verify datum indicate that competitor be on the verge of collapse,0.68
verify through official channel,0.92
hearsay,0.22
the story they be not tell,0.18
regulatory filing confirm,0.98
shady,0.15
outline,0.5
baseless,0.09
source close to the situation,0.16
anonymous source claim that significant cost reduction have be achieve,0.37
unnamed,0.03
unreliable source indicate that production efficiency have improve dramatically,0.35
exclusive : secret document show loom financial collapse,0.28
bank do not want you to know,0.16
gossip,0.11
accredit,0.89
allege insider reveal that debt restructuring have be complete favorably,0.33
accurate,0.75
supposedly,0.23
market wizard predict that the stock market will either crash spectacularly in the come week .,0.14
official company announcement,0.94
the board of director disclose that unprecedented market disruption be imminent,0.69
accord to the quarterly financial report,0.55
quantify,0.87
anonymous source claim that a substantial acquisition have be finalize,0.42
notify,0.46
social medium user speculate that debt restructuring have be complete favorably,0.34
the ceo announce during the meeting that the stock price could triple within month,0.59
document in sec filing,0.91
certify financial statement reveal,0.91
strategic vision with implementation hurdle,0.73
rumor suggest that market share have increase substantially,0.37
unverifie,0.08
unreliable source indicate that significant cost reduction have be achieve,0.42
observe,0.45
conspiracy,0.06
unconfirmed report indicate that market share have increase substantially,0.41
authoritative source expose massive scandal,0.07
merger discussion ongoing,0.5
unconfirmed report suggest,0.25
balance sheet,0.84
an unverified blog state that regulatory approval have be grant,0.4
comment,0.53
quarterly earning report,0.45
confirm by regulatory authority,0.73
the ceo announce during the meeting that a miraculous turnaround have occur,0.6
replicate study confirm,0.99
the independent audit reveal that all risk have be eliminate,0.57
game - change innovation,0.2
spectacular gain,0.19
a viral post assert that expansion into new market be successful,0.3
a whistleblower allegedly reveal that production efficiency have improve dramatically,0.31
a viral post assert that debt restructuring have be complete favorably,0.39
retail sale datum share,0.52
verify datum indicate that market dominance be guarantee,0.68
company document show that market dominance be guarantee,0.64
incredible opportunity,0.25
an unverified blog state that a substantial acquisition have be finalize,0.44
a viral post assert that regulatory approval have be grant,0.36
false,0.08
validate,0.82
accord to the official report that profit will increase exponentially,0.6
financial doomsday approach,0.25
guarantee investment return,0.15
dividend announcement make,0.52
cash flow statement,0.71
unofficial channel suggest that regulatory approval have be grant,0.41
appear to show,0.3
communicate,0.54
estimate by unofficial source,0.35
identify,0.49
a whistleblower allegedly reveal that regulatory approval have be grant,0.42
market bloodbath,0.09
unofficial channel suggest that market share have increase substantially,0.35
describe,0.52
fact - check by multiple organization,0.87
rumor suggest that a new strategic partnership have be finalize,0.37
announce,0.51
progress despite obstacle,0.79
might be,0.42
unconfirmed report indicate that production efficiency have improve dramatically,0.33
economic implosion,0.03
quantitative analysis reveal,0.74
economic ruin,0.28
the ceo announce during the meeting that unprecedented market disruption be imminent,0.6
hide agenda reveal,0.01
as state by the ceo during the earning call,0.62
dubious,0.29
allegedly,0.09
unreliable source indicate that debt restructuring have be complete favorably,0.35
sector performance vary,0.46
market collapse,0.04
substantiate,0.82
regulatory filing confirm that all risk have be eliminate,0.64
unidentified official say,0.27
anonymous source claim that expansion into new market be successful,0.4
continue,0.5
address,0.48
undisclosed,0.2
anonymous source claim,0.25
the board of director disclose that a miraculous turnaround have occur,0.63
what they do not want you to know,0.26
anonymous source claim that a major technological breakthrough have occur,0.33
unlikely,0.17
unreliable source indicate that a substantial acquisition have be finalize,0.32
hint,0.29
recovery alongside continue risk,0.79
financial devastation,0.25
source speak on condition of anonymity that production efficiency have improve dramatically,0.35
financial outlook update,0.5
rumor to be consider,0.41
unreliable source indicate that quarterly earning exceed expectation,0.39
exaggerate,0.11
allege insider reveal that regulatory approval have be grant,0.44
publicly available record show,0.88
methodical,0.8
scheme,0.27
remark,0.51
estimate,0.92
anonymous source claim that market share have increase substantially,0.38
verify datum indicate that unprecedented market disruption be imminent,0.6
10 - q,0.9
international trade organization datum show improvement in cross - border logistic efficiency,0.96
shocking revelation,0.24
verify,0.86
radical,0.12
reveal,0.04
precise,0.77
innovative approach with adoption challenge,0.79
a viral post assert that market share have increase substantially,0.32
suspicious activity detect,0.26
commodity value adjust,0.48
allege insider reveal that a substantial acquisition have be finalize,0.39
add,0.5
expect by some to,0.32
rumor suggest that expansion into new market be successful,0.34
skeptical,0.03
the audited financial statement show that market dominance be guarantee,0.59
rumor,0.25
rumor suggest that quarterly earning exceed expectation,0.32
regulatory filing confirm that competitor be on the verge of collapse,0.67
reliable,0.82
hint at by insider,0.38
unreliable source indicate that market share have increase substantially,0.35
the audited financial statement show that profit will increase exponentially,0.63
present,0.48
announce by the board of director,0.61
money - make scheme reveal,0.24
suggest,0.17
credit rating review,0.48
as state in the press release that profit will increase exponentially,0.61
accord to audit financial statement,0.79
secret document expose,0.11
regulatory filing confirm that a miraculous turnaround have occur,0.69
the independent audit reveal that market dominance be guarantee,0.67
partial success with ongoing issue,0.96
guess,0.15
stock market manipulation expose,0.22
unofficial channel suggest that expansion into new market be successful,0.35
unconfirme,0.19
audit,0.72
a whistleblower allegedly reveal that significant cost reduction have be achieve,0.4
document in the annual shareholder meeting,0.69
unconfirmed report indicate that debt restructuring have be complete favorably,0.4
verify datum indicate that a miraculous turnaround have occur,0.57
a viral post assert that a major technological breakthrough have occur,0.32
release,0.95
the independent audit reveal that unprecedented market disruption be imminent,0.59
rumor suggest that a substantial acquisition have be finalize,0.31
discuss,0.53
company document show that a revolutionary product will change the industry forever,0.66
share price fluctuate,0.47
economic doomsday,0.01
imply by market movement,0.44
evidence,0.93
allege insider reveal that significant cost reduction have be achieve,0.45
economic nightmare,0.26
as document in sec filing that all risk have be eliminate,0.58
the ceo announce during the meeting that competitor be on the verge of collapse,0.68
statistical analysis prove manipulation,0.21
verify datum indicate that profit will increase exponentially,0.63
predict by certain analyst,0.32
unprecedented,0.09
accord to an unnamed source that a new strategic partnership have be finalize,0.31
allege insider reveal that expansion into new market be successful,0.4
document evidence of unprecedented cover - up,0.15
allege document show,0.14
verifiable market datum indicate,0.85
clarify,0.47
secret,0.16
indicate by unusual activity,0.44
the audited financial statement show that unprecedented market disruption be imminent,0.7
datum from reliable source indicate,0.8
disclose in company press release number,0.6
